Africa	n.非洲
Sabbath	n.安息日
Santa	[美]=SantaClaus
Satan	n.撒旦,魔鬼
Satisfied	a.感到满意的
Saturday	n.星期六
Saturn	n.[天]土星,土星火箭,[商]杀草丹
Scandinavian	n.(北欧一地区,包括挪威、瑞典、丹麦、冰岛的)斯堪的纳维亚人[语
Scotch	n.苏格兰人,苏格兰语adj.苏格兰人的,苏格兰语的n.刻痕vt.镇压,粉碎,刻痕,使受伤
Scotland	n.苏格兰(英国的一部分,在不列颠北部)
Scots	n.苏格兰人[语adj.苏格兰的,苏格兰人[语]的
Scotsman	n.苏格兰人，苏格兰男人
Scotswoman	n.苏格兰人，苏格兰女人
Scottish	adj.苏格兰的,苏格兰人的
September	n.九月(略作Sep)
She	禽族,禽族人
Soviet	adj.苏联的
Spain	n.西班牙(欧洲南部国家)
Spaniard	n.西班牙人
Spanish	a.西班牙的n.西班牙人
Sunday	n.星期日
Swede	n.瑞典人
Sweden	n.瑞典
Swiss	a.瑞士的，瑞士人的
Switzerland	n.瑞士(欧洲中部国家)
Sydney	n.悉尼
Thursday	n.星期四
Tory	n.保守党党员,保皇党人adj.保守分子的
Tuesday	n.星期二
Tyre	提尔(古代腓尼基Phoenicia的有名港口,现属黎巴嫩)
UFO	n.不明飞行物
Utopia	n.乌托邦,理想的完美境界,空想的社会改良计划
Valentine	瓦伦丁(姓氏)
Venus	n.金星
Wednesday	n.星期三
Welsh	adj.（英国）威尔士(Welsh)的
Xerox	施乐复印机（商标名称）
Yahoo	美国Yahoo公司,提供Internet上的目录信息检索服务
Yankee	n.<美>美国人,美国佬
Yearly	['jiə;li] a.每年的ad.一年一度
Yugoslavia	n.南斯拉夫
Yugoslavian	n.南斯拉夫人,南斯拉夫adj.南斯拉夫人的
Zeus	n.[希神]宙斯
Zion	n.原意：耶路撒冷的一个迦南要塞,后指锡安
Zionism	犹太复国主义
Zulu	n.祖鲁族人[语adj.祖鲁族人[语]的,(无线电
Zurich	n.苏黎世
a	[ei] art.一n.字母A
aardvark	['ɑ;:dvɑ;:k] n.[动]土豚
aardwolf	['ɑ;:dwulf] n.[动]土狼
abaca	[,ɑ;:bə;'kɑ;:] n.[植]马尼拉麻,麻蕉
aback	[ə;'bæ;k] adv.向后地
abacus	['æ;bə;kə;s] n.算盘
abaft	[ə;'bæ;ft] adv.向船尾prep.在...后
abalone	[,æ;bə;'lə;uni] n.<美>[动]鲍鱼(软体动物)
abandon	[ə;'bæ;ndə;n] vt.放弃,遗弃n.放任,狂热
abandoned	[ə;'bæ;ndə;nd] adj.被抛弃的,自甘堕落的,没有约束的,放
abandonment	[ə;'bæ;ndə;nmə;nt] n.放弃
abase	[ə;'beis] v.降低
abasement	[ə;'beismə;nt] n.降低
abash	[ə;'bæ;ʃ;] vt.使局促不安,使困窘
abashed	[ə;'bæ;ʃ;t] adj.不安的,窘迫的
abask	adv.暖洋洋地
abate	[ə;'beit] vt.使(数量、程度等)减少,减轻,除去,缓
abatement	[ə;'beitmə;nt] n.消除
abatis	['æ;bə;tis] n.鹿砦,铁丝网
abattoir	['æ;bə;twɑ;:] n.屠宰场，角斗场
abaxial	[æ;b'æ;ksiə;l] adj.离轴的
abbacy	['æ;bə;si] n.男修道院院长的职位、管区、任期
abbatial	[ə;'beiʃ;ə;l] adj.修道院长的
abbe	['æ;bei] n.男修道院院长,僧侣,神父
abbess	['æ;bis] n.女修道院院长,女庵主持
abbey	['æ;bi] n.修道院,修道士（总称）
abbot	['æ;bə;t] n.修道院,修道士的总称
abbreviate	[ə;'bri:vieit] v.缩写,缩短,简化,简写成,缩写为
abbreviation	[ə;,bri:vi'eiʃ;ə;n] n.缩写,缩写词
abbreviator	[ə;'bri:vi,eitə;] n.缩写者
abdicate	['æ;bdikeit] v.退位,放弃(职位,权力等)
abdication	[,æ;bdi'keiʃ;ə;n] n.退位,让位
abdomen	['æ;bdə;men] n.腹,腹部
abdominal	[æ;b'dɔ;minə;l] adj.腹部的
abdominally	腹
abdominous	[æ;b'dɔ;minə;s] adj.大肚子的,肥胖的
abduce	[æ;b'dju:s] v.[生理]使外转,外展,把.引开
abducent	[æ;b'dju:sə;nt] adj.向外扩展的
abduct	[æ;b'dʌ;kt] vt.诱拐,绑架
abduction	[æ;b'dʌ;kʃ;ə;n] n.诱拐n.诱导
abductor	[æ;b'dʌ;ktə;] n.诱拐者
abeam	[ə;'bi:m] adv.adj.与船的龙骨成直角
abecedarian	[,eibi:si:'dɛ;ə;riə;n] n.初学者,学字母者adj.字母的,初步的
abed	[ə;'bed] adv.在床上,卧病在床
abele	[ə;'bi:l] n.[植]银白杨(=whitepoplar)
abelmosk	['eibə;l,mɔ;sk] n.[植]黄葵
abend	异常结束,异常终止
aberrance	[æ;'berə;ns] n.脱离正道,越轨,反常,[生物]变异,畸变
aberrant	[æ;'berə;nt] adj.异常的
aberration	[,æ;bə;'reiʃ;ə;n] n.失常
abet	[ə;'bet] vt.教唆,煽动,帮助,支持
abetment	[ə;'betmə;nt] n.教唆,煽动,帮助,支持
abettor	[ə;'betə;] n.教唆犯
abeyance	[ə;'beiə;ns] n．中止，暂搁
abeyant	[ə;'beiə;nt] adj.中止的,暂时搁置的
abhor	[ə;b'hɔ;:] vt.憎恶,痛恨
abhorrence	[ə;b'hɔ;:rə;ns] n.痛恨,憎恶
abhorrent	[ə;b'hɔ;:rə;nt] adj．可恨的，可厌的
abidance	[ə;'baidə;ns] n.持续,遵守,居住
abide	[ə;'baid] vi.坚持,遵守vt.忍受,容忍
abiding	[ə;'baidiŋ;] v.容忍adj.持久的
abigail	['æ;bigeil] n.(贵妇人的贴身)使女
ability	[ə;'biliti] n.能力,才干
abiogenesis	[,eibaiə;u'dʒ;enisis] n.自然发生
abiotic	[,eibai'ɔ;tik] adj.无生命的,非生物的
abject	['æ;bdʒ;ekt] adj.卑鄙的,可怜的
abjection	[æ;b'dʒ;ekʃ;ə;n] n.卑鄙,抛弃,驱逐，落魄
abjectly	['æ;bdʒ;ektli] adv.悲惨地,卑鄙地
abjuration	[,æ;bdʒ;uə;'reiʃ;ə;n] n.放弃,发誓断绝
abjure	[ə;b'dʒ;uə;] v．誓绝，弃绝
ablate	[æ;b'leit] v.融化
ablation	[æ;b'leiʃ;ə;n] n.消融,切除
ablative	['æ;blə;tiv] adj.离格的n.离格
ablaut	['æ;blaut] n.[语音]元音变换
ablaze	[ə;'bleiz] adj.adv.着火的,激动的,闪耀的
able	['eibl] adj.能...的,有才能的,能干的,能够的
able-bodied	['eibl'bɔ;did] adj.强壮的
abloom	[ə;'blu:m] adv.开花adj.开花的
ablution	[ə;b'lu:ʃ;ə;n] n．（宗教的）净礼，沐浴
ably	['eibli] adv.能干地,巧妙地
abnegate	['æ;bnigeit] v.放弃
abnegation	[,æ;bni'geiʃ;ə;n] n.放弃
abnormal	[æ;b'nɔ;:mə;l] adj.反常的,变态的
abnormality	[,æ;bnɔ;:'mæ;liti] n.变态n.畸形,异常性
abnormally	[æ;b'nɔ;:mə;li] adv.反常地,不规则地
abnormity	[æ;b'nɔ;:miti] n.异常,不规则,异形
aboard	[ə;'bɔ;:d] adv.在船(飞机、车)上,上船(飞机、车)pre
abode	[ə;'bə;ud] n.住所,住处
abolish	[ə;'bɔ;liʃ;] vt.废止,废除(法律、制度、习俗等)
abolition	[,æ;bə;'liʃ;ə;n] n.废除,废除奴隶制度
abolitionism	[,æ;bə;'liʃ;ə;nizə;m] n.废除主义,废奴主义
abolitionist	[,æ;bə;'liʃ;ə;nist] n.废除主义者,废奴主义者
abomasum	[,æ;bə;u'meisə;m] n.皱胃(反刍动物胃的第四部分)
abominable	[ə;'bɔ;minə;bl] adj.讨厌的,令人憎恶的
abominably	[ə;'bɔ;minə;bli] adv.可恶地,可恨地,极端地
abominate	[ə;'bɑ;mineit] vt.痛恨,憎恶
abomination	[ə;,bɔ;mi'neiʃ;ə;n] n.憎恨,厌恶,可憎的事物
aboral	[æ;'bɔ;:rə;l] adj.离口的,对口的
aboriginal	[,æ;bə;'ridʒ;ə;nə;l] adj.土著的,原来的n.土著居民
aborigine	[æ;bə;'ridʒ;ini:] 
aborigines	[,æ;bə;'ridʒ;ini:z] n.土著,原居民,(Aborigines)澳大利亚土著
aborning	[ə;'bɔ;:niŋ;] adj.产生中的
abort	[ə;'bɔ;:t] vi.异常中断,中途失败,夭折,流产,发育不全n.中止计划[任务
abortifacient	[ə;,bɔ;:tə;'feiʃ;ə;nt] n.[医]堕胎药adj.堕胎的
abortion	[ə;'bɔ;:ʃ;ə;n] n.流产,堕胎,失败,夭折,中止,早产
abortionist	[ə;'bɔ;:ʃ;ə;nist] n.(尤指非法)为人堕胎者
abortive	[ə;'bɔ;:tiv] adj.早产的,流产的,失败的adj.夭折的,异
abound	[ə;'baund] vi.多,大量存在,富于,充满
about	[ə;'baut] adv.附近,大约,转向,左右,周围prep.在附近,关于,在...周围,忙于
above	[ə;'bʌ;v] all尤其是，最主要的是
above-mentioned	[ə;'bʌ;v'menʃ;ə;nd] adj.上述的
aboveboard	[ə;'bʌ;v'bɔ;:d] adj.光明正大的
abracadabra	[,æ;brə;kə;'dæ;brə;] n.咒语，胡言乱语
abradant	[ə;'breidə;nt] adj.摩擦着的n.磨蚀剂
abrade	[ə;'breid] v．磨损，擦伤
abraded	[ə;'breid] 磨损
abranchiate	[ə;'bræ;ŋ;kieit] n.[动]无鳃动物
abrasion	[ə;'breiʒ;ə;n] n．表面磨损
abrasive	[ə;'breisiv] n.研磨剂adj.研磨的
abreact	[,æ;bri'æ;kt] vt.使消散,发泄(被压抑的情感等)
abreast	[ə;'brest] adv.并肩地,并排地
abridge	[ə;'bridʒ;] v.删节,削减,精简
abridgement	[ə;'bridʒ;mə;nt] n.删节,缩短,删节本
abridgment	[ə;'bridʒ;mə;nt] n.删节,节略,删节本
abroach	[ə;'brə;utʃ;] adv.开个口使水流出adj.开口的
abroad	[ə;'brɔ;:d] adv.往国外,到处,海外,广泛,差得远,心里没有谱
abrogate	['æ;brə;ugeit] v．废止，废除
abrogation	[,æ;brə;'geiʃ;n] n.废除,取消
abrupt	[ə;'brʌ;pt] adj.突然的,陡峭的,生硬的
abruption	[ə;'brʌ;pʃ;ə;n] n.分裂,分离
abruptly	[ə;'brʌ;ptli] adv.突然地,唐突地
abruptness	[ə;'brʌ;ptnis] n.突然,唐突,(举止,言谈等的)粗鲁无理
abscess	['æ;bsis] n.脓肿,砂眼
abscise	[æ;b'saiz] vt.切除vi.被切除,脱离
abscissa	[æ;b'sisə;] n.横坐标
abscission	[æ;b'siʒ;ə;n] n.切断,除去
abscond	[æ;b'skɔ;nd] vi.潜逃,避债
absence	['æ;bsns] n.不在,缺席,缺乏,没有
absent	['æ;bsə;nt] adj.不在的,缺席的,缺少的vt.缺席
absent-minded	['æ;bsnt'maindid] adj.心不在焉的,出神的
absentee	[,æ;bsn'ti:] n.缺席者,未上班者
absenteeism	[,æ;bsə;n'ti:izə;m] n.旷课,旷工
absently	['æ;bsə;ntli] adv.心不在焉地,茫然地
absentminded	['æ;bsə;nt'maindid] adj.心不在焉的,茫然的,恍惚的
absentmindedness	心不在焉
absinth	['æ;bsinθ;] n.苦艾酒
absinthe	['æ;bsinθ;] n.苦艾酒,[植]苦艾
absolute	['æ;bsə;lu:t] adj.完全的,绝对的
absolutely	['æ;bsə;lu:tli] adv.完全地,绝对地
absolution	[,æ;bsə;'lu:ʃ;ə;n] n.免罪,赦免
absolutism	['æ;bsə;lu:tizə;m] n.专制主义,绝对论
absolve	[ə;b'zɔ;lv] v.宣布免除
absonant	['æ;bsə;nə;nt] adj.不协调的,不和谐的
absorb	[ə;b'sɔ;:b] vt.吸收,吸引
absorbability	[ə;b,sɔ;:bə;'biliti] n.吸收,可吸收性
absorbant	adj.能吸收的n.吸收剂
absorbed	[ə;b'sɔ;:bd] adj.全神贯注的,一心一意的
absorbency	[ə;b'sɔ;:bə;nsi] n.吸收性,吸光度n.吸收性,吸收能力,[物][
absorbent	[ə;b'sɔ;:bə;nt] adj.能吸收的n.吸收剂
absorber	[ə;b'sɔ;:bə;] n.吸收者,吸收体,减震器
absorbing	[ə;b'sɔ;:biŋ;] adj.吸引人的,非常有趣的
absorptance	[ə;b'sɔ;:ptə;ns] n.[物]吸收比
absorption	[ə;b'sɔ;:pʃ;ə;n] n.吸收
absorptive	[ə;b'sɔ;:ptiv] adj.吸收性的,有吸收力的
abstain	[ə;b'stein] v.禁绝,放弃
abstemious	[æ;b'sti:miə;s] adj．有节制的，节俭的
abstention	[æ;b'stenʃ;ə;n] n.节制
abstinence	['æ;bstinə;ns] n.节制,节欲,戒酒
abstinent	['æ;bstinə;nt] adj.饮食有度的,有节制的,禁欲的n.禁欲者
abstract	['æ;bstræ;kt] n.摘要,概要,抽象adj.抽象的,深奥的,理论的vt.摘要,提炼,抽象化
abstracted	[æ;b'stræ;ktid] adj.心不在焉的,出神的
abstraction	[æ;b'stræ;kʃ;ə;n] n.提取
abstractionism	[æ;b'stræ;kʃ;ə;nizə;m] n.抽象派艺术
abstractive	[æ;b'stræ;ktiv] adj.具有抽象能力的,摘要式的
abstractness	抽象性
abstriction	n.[植]缢离作用
abstruse	[æ;b'stru:s] adj．难懂的，深奥的
absurd	[ə;b'sə;:d] adj.荒谬的,可笑的
absurdity	[ə;b'sə;:diti] n.荒谬,谬论
abulia	[ə;'bju:liə;] n.意志力丧失
abundance	[ə;'bʌ;ndə;ns] n.丰富,充裕,丰富充裕
abundant	[ə;'bʌ;ndə;nt] adj.丰富的,充裕的,丰富,盛产,富于
abuse	[ə;'bju:z] n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂
abusive	[ə;'bju:siv] adj.辱骂的,滥用的
abut	[ə;'bʌ;t] v.邻接,毗邻
abutilon	[ə;'bju:tilə;n] n.白麻属植物
abutment	[ə;'bʌ;tmə;nt] n.邻接,桥礅
aby	[ə;'bai] v.赎(罪),偿
abysm	[ə;'bizə;m] n.深渊,无底洞
abysmal	[ə;'bizmə;l] adj．极深的，糟透的
abysmally	[ə;'bizmə;li] 深不可测
abyss	[ə;'bis] n.深渊
abyssal	[ə;'bisə;l] adj.深渊的,深海的
acacia	[ə;'keiʃ;ə;] n.阿拉伯树胶
academe	[,æ;kə;'di:m] n.研究院,学会(=academy),学术界,学院
academic	[,æ;kə;'demik] adj.学院的,理论的
academician	[ə;,kæ;də;'miʃ;ə;n] n.学会会员,院士,大学生,学者
academicism	[,æ;kə;'demi,sizə;m] n.艺术院的作风,形成主义
academy	[ə;'kæ;də;mi] n.(高等)专科院校,研究院,学会,学术团体
acaleph	n.[动]水母
acanthoid	[ə;'kæ;nθ;ɔ;id] adj.棘状的,刺状的
acanthopterygian	[,æ;kə;n,θ;ɔ;ptə;'ridʒ;iə;n] n.棘鳍类的鱼adj.棘鳍类的
acanthus	[ə;'kæ;nθ;ə;s] n.[建]叶形的装饰板
acariasis	[,æ;kə;'raiə;sis] n.疥癣,疥虫病
acarid	['æ;kə;rid] n.[动]螨
acaroid	adj.螨的螨状的
acarpous	[ei'kɑ;:pə;s] adj.[植]不结果的,无果实的
acarus	['æ;kə;rə;s] n.[动]螨
acatalectic	[æ;,kæ;tə;'lektik] adj.(诗行)音节数完整的
acaudal	[e'kɔ;:də;l] adj.[动]无尾的
acaulescent	[,æ;kɔ;:'lesnt] adj.[植]无茎的
accede	[æ;k'si:d] v.同意,加入,同意
accelerando	[æ;k,selə;'ræ;ndə;u] adj.[乐]渐速的adv.[乐]渐速地n.[乐]渐速
accelerate	[æ;k'selə;reit] v.加速,促进
accelerating	[æ;k'selə;reit] 加速(的),促进的催化的
acceleration	[æ;k,selə;'reiʃ;ə;n] n.加速度
accelerative	[æ;k'selə;rə;tiv] adj.加速的,催促的
accelerator	[æ;k'selə;,reitə;] n.加速者,加速器
accelerometer	[æ;k,selə;'rɔ;mitə;] n.加速计
accent	['æ;ksə;nt] n.重音,口音,重音符
accentual	[æ;k'sentjuə;l] adj.重音的,有抑扬的
accentuate	[æ;k'sentʃ;ueit] v.重读,强调,着重强调
accentuation	[æ;k,sentju'eiʃ;ə;n] n.重读,强调
accept	[ə;k'sept] vt.接受,认可,承担,承兑vi.同意,承认
acceptability	[ə;k'septə;'biliti] n.可接受性
acceptable	[ə;k'septə;bl] adj.可接受的,合意的
acceptably	[ə;k'septə;bli] adv.可以接受地
acceptance	[ə;k'septə;ns] n.接受,承诺,容忍,赞同,相信
acceptant	[ə;k'septə;nt] adj.容易接受的
acceptation	[,æ;ksep'teiʃ;ə;n] n.意义
accepted	[ə;k'septid] adj.一般承认的,公认的
accepter	[ə;k'septə;] n.接受人,承诺人
acceptive	[ə;k'septiv] adj.易接纳的,可领受的
acceptor	[ə;k'septə;] n.接受者,接收器
access	['æ;kses] n.通路,访问,入门vt.存取,接近
accessary	[æ;k'sesə;ri] n.[律]同谋,帮凶,从犯adj.同谋的,帮凶
accessibility	[æ;k,sesi'biliti] n.易接近,可到达的
accessible	[æ;k'sesə;bl] adj.易接近的,可到达的,易受影响的,可理解的
accession	[æ;k'seʃ;ə;n] n.就职,就任,添加,增加
accessorial	['æ;ksə;'sɔ;:riə;l] adj.附属的,辅助的,增加的,补充的
accessory	[æ;k'sesə;ri] n.附件,零件,附加物,从犯,同谋者adj.附属的,补充的,同谋的,副的
acciaccatura	[ɑ;:,tʃ;ɑ;:kə;'tu:rə;] n.<意>[音]短倚音
accidence	['æ;ksidə;ns] n.入门
accident	['æ;ksidə;nt] n.意外事件,事故
accidental	[,æ;ksi'dentl] adj.意外的,非主要的,附属的n.非本质属
accidentally	[,æ;ksi'dentə;li] adv.偶然地,意外地
accipiter	[æ;k'sipitə;] n.鹰类,猛禽
acclaim	[ə;'kleim] n.喝彩,欢呼v.欢呼,称赞
acclaimed	[ə;'kleimd] 欢呼
acclamation	[,æ;klə;'meiʃ;ə;n] n．欢呼
acclamatory	[ə;'klæ;mə;tə;ri] adj.欢呼的,喝彩的
acclimate	[ə;'klaimit] vt.使适应新环境,使服水土vi.服水土,适应
acclimation	[,æ;klai'meiʃ;ə;n] n.服水土,顺应,适应环境
acclimatization	[ə;,klaimə;ti'zeiʃ;n] n.环境适应性
acclimatize	[ə;'klaimə;taiz] vt.使适应(或习惯)新环境(或气候等),使服
acclivity	[ə;'kliviti] n．向上的陡坡
accolade	[,æ;kə;'leid] n.赞美,骑士爵位的授予,连谱号
accommodate	[ə;'kɔ;mə;deit] vt.供应,供给,使适应,调节,和解,向...
accommodating	[ə;'kɔ;mə;deitiŋ;] adj．乐于助人的
accommodation	[ə;,kɔ;mə;'deiʃ;n] n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合
accommodator	[ə;'kɔ;mə;deitə;] n.调解人
accompaniment	[ə;'kʌ;mpə;nimə;nt] n.陪伴物,伴奏
accompanist	[ə;'kʌ;mpə;nist] n.伴奏者
accompany	[ə;'kʌ;mpə;ni] vt.陪伴,伴奏
accomplice	[ə;'kɔ;mplis] n.同谋者,帮凶
accomplish	[ə;'kɔ;mpliʃ;] vt.完成,达到,实现
accomplished	[ə;'kɔ;mpliʃ;t] adj.完成的,熟练的,多才多艺的
accomplishment	[ə;'kɔ;mpliʃ;mə;nt] n.成就,完成,技艺
accord	[ə;'kɔ;:d] n.一致,符合,调和,协定vt.一致,给与v
accordance	[ə;'kɔ;:də;ns] n.一致,和谐
accordant	[ə;'kɔ;:də;nt] adj.一致的
according	[ə;'kɔ;:diŋ;] adv.依照
accordingly	[ə;'kɔ;:diŋ;li] adv.因此,从而
accordion	[ə;'kɔ;:diə;n] n.手风琴adj.可折叠的
accost	[ə;'kɔ;:st] vt.对...说话,搭话
accouchement	[ə;'ku:ʃ;mɑ;:ŋ;] n.<法>分娩,生产
accoucheur	[,æ;ku:'ʃ;ə;:] n.<法>男助产士,产科男医师
account	[ə;'kaunt] n.计算,帐目,说明,估计,理由vi.说明,
accountability	[ə;,kauntə;'biliti] n.有责任,有义务,可说明性
accountable	[ə;'kauntə;bl] adj.应负责的,有责任的,可解释的
accountancy	[ə;'kauntə;nsi] n.会计师之职,会计学
accountant	[ə;'kauntə;nt] n.会计(员),会计师
accountee	[会]会计情报利用人(信用证)开证申请人,
accounting	[ə;'kauntiŋ;] n.会计学,清算帐目
accouter	[ə;'ku:tə;] vt.供以服装,供以军用品,装备
accouterment	[ə;'ku:tə;mə;nts] n.穿着,配备,饰物
accoutre	[ə;'ku:tə;] vt.供以服装,供以军用品,装备
accoutrement	[ə;'ku:tə;mə;nt] n.(=accouterment)穿着,配备
accoutrements	[ə;'ku:trimə;nts] n．（军服，武器之外的）装备，配备（
accredit	[ə;'kredit] vt.信任,授权,归于
accreditation	[ə;,kredi'teiʃ;ə;n] n.委派,信赖,鉴定合格
accrete	[æ;'kri:t] vi.共生,合生,附着vt.使依附,使连接ad
accretion	[æ;'kri:ʃ;ə;n] n．自然的增加，增加物
accrual	[ə;'kru:ə;l] n.获利,利息,自然增长
accrue	[ə;'kru:] vi.自然增加,产生
acculturate	[ə;'kʌ;ltʃ;ə;reit] vi.适应文化vt.使适应文化
acculturation	[ə;,kʌ;ltʃ;ə;'reiʃ;ə;n] n.文化传入,文化适应
accumulate	[ə;'kju:mjuleit] v.积聚,堆积
accumulation	[ə;,kju:mju'leiʃ;ə;n] n.积聚,堆积物
accumulative	[ə;'kju:mjulə;tiv] adj.积聚的,累积的
accumulator	[ə;'kju:mjuleitə;] n.<英>蓄电池,积聚者
accuracy	['æ;kjurə;si] n.精确性,正确度
accurate	['æ;kjurit] adj.正确的,精确的
accurately	['æ;kjuritli] adv.正确地,精确地
accursed	[ə;'kə;:sid] adj.被咒的,可憎的
accusal	[ə;'kju:zə;l] n.(=accusation)谴责,控告,罪名
accusation	[,æ;kju'zeiʃ;ə;n] n.谴责,[律]指控
accusative	[ə;'kju:zə;tiv] adj.&n.宾格(的),宾语(的)
accusatory	[ə;'kju:zə;tə;ri] adj.非难的,控诉的,指责的
accuse	[ə;'kju:z] vt.控告,谴责,非难
accuse...of	为…指责某人，控告某人
accused	[ə;'kju:zd] n.被告
accuser	[ə;'kju:zə;] n.原告
accusingly	[ə;'kju:ziŋ;li] adv.责难地
accustom	[ə;'kʌ;stə;m] vt.使习惯于
accustomed	[ə;'kʌ;stə;md] adj.通常的,习惯的,按照风俗习惯的
ace	[eis] n.(纸牌或骰子)幺点,王牌飞行员(击落敌机五架以上者)adj.一流的abbr.[军]AlliedCommandEurope,欧洲盟军司令部
acedia	[ə;'si:diə;] n.懒惰,绝望
acentric	[ei'sentrik] adj.无中心的,离心的
